,zone,min,max,mean,std,count
0,1,-0.16503320559859275,0.11860765309044807,0.011305348588956191,0.02643843060101011,9961
1,2,-0.3502470156911646,0.23335678324554915,0.0044803199357989895,0.04811335090767396,23490
2,3,-0.5280852250077505,0.3140583618120714,0.002554860434477475,0.06513881087189535,26247
3,4,-0.38310796166911265,0.42400770629897266,0.008197812430048463,0.07866878222299972,24596
4,5,-0.47543754270582494,0.5514145908933701,0.014652315258321516,0.09026320012098754,20579
5,6,-0.5243140567432745,0.7232301852919841,0.032466351939063255,0.11489348666855329,14060
6,7,-0.41986223386995697,0.7997840787425188,0.06444670862004698,0.15655599564554176,6938
7,8,-0.3666345278422032,0.914364283735102,0.09769201807589781,0.19501065742945656,2222
8,9,-0.3126596364107992,1.0603747365149587,0.15962401039894966,0.22514780521889607,392
9,10,-0.2038823474537239,0.6710842847824097,0.1407811587765105,0.16723624699726344,35
